id;frequency;color;stations
1;1;#000000;Ah,Ut
2;1;#000000;Ah,Zv
3;1;#000000;Apd,Asd
4;1;#000000;Apd,Hgl
5;1;#000000;Apd,Ut
6;1;#000000;Asd,Lls
7;1;#000000;Asd,Shl
8;1;#000000;Asd,Ut
9;1;#000000;Asdz,Lls
10;1;#000000;Asdz,Shl
11;1;#000000;Asdz,Ut
12;1;#000000;Asn,Gn
13;1;#000000;Asn,Zl
14;1;#000000;Bd,Rtd
15;1;#000000;Bd,Ut
16;1;#000000;Ehv,Std
17;1;#000000;Ehv,Ut
18;1;#000000;Gv,Gvc
19;1;#000000;Gv,Rtd
20;1;#000000;Gv,Shl
21;1;#000000;Gvc,Shl
22;1;#000000;Gvc,Ut
23;1;#000000;Hgl,Odz
24;1;#000000;Hr,Lw
25;1;#000000;Hr,Zl
26;1;#000000;Lls,Zl
27;1;#000000;Mt,Std
28;1;#000000;Rsd,Rtd
29;1;#000000;Rtd,Ut
30;1;#000000;Ut,Zl
